Date : 2025-02-23 09:56:10
Directory : d:\blog local\lira-gallery-website
Total : 82 files,  45561 codes, 177 comments, 1507 blanks, all 47245 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\blog local\lira-gallery-website\layouts\index.html                                    | HTML       |         21 |          2 |          6 |         29 |
| d:\blog local\lira-gallery-website\layouts\partials\footer.html                          | HTML       |         11 |          0 |          1 |         12 |
| d:\blog local\lira-gallery-website\layouts\partials\head.html                            | HTML       |          9 |          0 |          2 |         11 |
| d:\blog local\lira-gallery-website\layouts\partials\header.html                          | HTML       |         34 |          2 |          6 |         42 |
| d:\blog local\lira-gallery-website\public\archive\blueprints\index.html                  | HTML       |        111 |          0 |         56 |        167 |
| d:\blog local\lira-gallery-website\public\archive\index.html                             | HTML       |        128 |          0 |         71 |        199 |
| d:\blog local\lira-gallery-website\public\blueprints\index.html                          | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\categories\index.html                          | HTML       |         91 |          0 |         41 |        132 |
| d:\blog local\lira-gallery-website\public\categories\index.xml                           | XML        |         11 |          0 |          1 |         12 |
| d:\blog local\lira-gallery-website\public\contacts\index.html                            | HTML       |        116 |          0 |         44 |        160 |
| d:\blog local\lira-gallery-website\public\css\base.css                                   | CSS        |        622 |         33 |         91 |        746 |
| d:\blog local\lira-gallery-website\public\css\footer.css                                 | CSS        |         41 |          6 |          9 |         56 |
| d:\blog local\lira-gallery-website\public\css\side-bars.css                              | CSS        |         54 |          6 |          8 |         68 |
| d:\blog local\lira-gallery-website\public\css\single.css                                 | CSS        |        210 |         14 |         43 |        267 |
| d:\blog local\lira-gallery-website\public\exhibitions\index.html                         | HTML       |        155 |          0 |         49 |        204 |
| d:\blog local\lira-gallery-website\public\exhibitions\index.xml                          | XML        |         68 |          0 |          1 |         69 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-1\index.html           | HTML       |        124 |          0 |         61 |        185 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-2\second\index.html    | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-3\thrid\index.html     | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-4\fourt\index.html     | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-5\five\index.html      | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-example-7\severn\index.html    | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-hundred-year-window\index.html | HTML       |        123 |          0 |         57 |        180 |
| d:\blog local\lira-gallery-website\public\exhibitions\the-other-thing\fix\index.html     | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\gallery\blueprints\index.html                  | HTML       |        120 |          0 |         57 |        177 |
| d:\blog local\lira-gallery-website\public\gallery\index.html                             | HTML       |        119 |          0 |         55 |        174 |
| d:\blog local\lira-gallery-website\public\index.html                                     | HTML       |        107 |          0 |         53 |        160 |
| d:\blog local\lira-gallery-website\public\index.xml                                      | XML        |         89 |          0 |          1 |         90 |
| d:\blog local\lira-gallery-website\public\js\image-gallery.js                            | JavaScript |         20 |          5 |          7 |         32 |
| d:\blog local\lira-gallery-website\public\js\screensaver.js                              | JavaScript |         36 |          0 |          9 |         45 |
| d:\blog local\lira-gallery-website\public\js\time.js                                     | JavaScript |         13 |          4 |          4 |         21 |
| d:\blog local\lira-gallery-website\public\sitemap.xml                                    | XML        |         48 |          0 |          1 |         49 |
| d:\blog local\lira-gallery-website\public\tags\index.html                                | HTML       |         91 |          0 |         41 |        132 |
| d:\blog local\lira-gallery-website\public\tags\index.xml                                 | XML        |         11 |          0 |          1 |         12 |
| d:\blog local\lira-gallery-website\public\ui\arrow.svg                                   | XML        |         15 |          0 |          0 |         15 |
| d:\blog local\lira-gallery-website\public\ui\circles.svg                                 | XML        |         38 |          0 |          0 |         38 |
| d:\blog local\lira-gallery-website\public\ui\decorative-overlay.svg                      | XML        |        134 |          1 |          1 |        136 |
| d:\blog local\lira-gallery-website\public\ui\lander.svg                                  | XML        |      1,473 |          1 |          1 |      1,475 |
| d:\blog local\lira-gallery-website\public\ui\lira-logo-box.svg                           | XML        |         16 |          0 |          0 |         16 |
| d:\blog local\lira-gallery-website\public\ui\ncf.svg                                     | XML        |         40 |          0 |          1 |         41 |
| d:\blog local\lira-gallery-website\public\ui\nia-svg.svg                                 | XML        |     18,625 |          0 |         13 |     18,638 |
| d:\blog local\lira-gallery-website\public\ui\side-deco.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\blog local\lira-gallery-website\public\ui\star.svg                                    | XML        |         11 |          1 |          1 |         13 |
| d:\blog local\lira-gallery-website\static\css\base.css                                   | CSS        |        622 |         33 |         91 |        746 |
| d:\blog local\lira-gallery-website\static\css\footer.css                                 | CSS        |         41 |          6 |          9 |         56 |
| d:\blog local\lira-gallery-website\static\css\side-bars.css                              | CSS        |         54 |          6 |          8 |         68 |
| d:\blog local\lira-gallery-website\static\css\single.css                                 | CSS        |        210 |         14 |         43 |        267 |
| d:\blog local\lira-gallery-website\static\js\image-gallery.js                            | JavaScript |         20 |          5 |          7 |         32 |
| d:\blog local\lira-gallery-website\static\js\screensaver.js                              | JavaScript |         36 |          0 |          9 |         45 |
| d:\blog local\lira-gallery-website\static\js\time.js                                     | JavaScript |         13 |          4 |          4 |         21 |
| d:\blog local\lira-gallery-website\static\ui\arrow.svg                                   | XML        |         15 |          0 |          0 |         15 |
| d:\blog local\lira-gallery-website\static\ui\circles.svg                                 | XML        |         38 |          0 |          0 |         38 |
| d:\blog local\lira-gallery-website\static\ui\decorative-overlay.svg                      | XML        |        134 |          1 |          1 |        136 |
| d:\blog local\lira-gallery-website\static\ui\lander.svg                                  | XML        |      1,473 |          1 |          1 |      1,475 |
| d:\blog local\lira-gallery-website\static\ui\lira-logo-box.svg                           | XML        |         16 |          0 |          0 |         16 |
| d:\blog local\lira-gallery-website\static\ui\ncf.svg                                     | XML        |         40 |          0 |          1 |         41 |
| d:\blog local\lira-gallery-website\static\ui\nia-svg.svg                                 | XML        |     18,625 |          0 |         13 |     18,638 |
| d:\blog local\lira-gallery-website\static\ui\side-deco.svg                               | XML        |          1 |          0 |          0 |          1 |
| d:\blog local\lira-gallery-website\static\ui\star.svg                                    | XML        |         11 |          1 |          1 |         13 |
| Total                                                                                    |            |     45,561 |        177 |      1,507 |     47,245 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
